koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
FALSE POSITIVE,0,0,1,0,2.15681538,1.72E-05,-1.72E-05,133.27151,0.00712,-0.00712,0.615,0.331,-0.385,5.115,0.251,-0.251,106.5,5.7,-5.7,1.06,0.32,-0.14,1473,1114.9,991.14,-381.29,22.6,1,6084,169,-212,4.45,0.07,-0.21,0.983,0.296,-0.127,297.81674,43.440411,14.758
CANDIDATE,0,0,0,0,2.00870696,3.04E-05,-3.04E-05,131.51,0.0105,-0.0105,0.194,0.272,-0.194,4.87,0.367,-0.367,53.5,5.1,-5.1,0.55,0.08,-0.07,1232,542.87,257.21,-173.59,12.2,1,5341,143,-159,4.526,0.099,-0.121,0.759,0.115,-0.094,294.3035,38.203011,12.334
FALSE POSITIVE,0,1,1,1,1.33256418,1.96E-05,-1.96E-05,132.0473,0.0122,-0.0122,0.559,0.044,-0.486,4.701,0.357,-0.357,162.3,10.3,-10.3,0.81,0.07,-0.06,1262,602.26,198.51,-156.83,20.7,1,5157,178,-178,4.641,0.066,-0.039,0.62,0.048,-0.048,295.10251,46.732922,15.86
CANDIDATE,0,0,0,0,0.655939788,2.05E-06,-2.05E-06,132.09997,0.00226,-0.00226,0.301,0.147,-0.301,1.318,0.0811,-0.0811,73,4.8,-4.8,1.48,0.81,-0.82,2411,7986.43,13683.95,-6554.12,18.7,1,4968,149,-134,3.924,0.665,-0.285,1.755,0.97,-0.97,297.08301,43.679951,14.511
FALSE POSITIVE,0,0,1,0,1.387838134,6.05E-06,-6.05E-06,132.11351,0.00318,-0.00318,0.38,0.089,-0.38,2.252,0.106,-0.106,136.8,8.1,-8.1,1.24,0.4,-0.13,1783,2378.53,2254.18,-734.13,20.4,1,6273,175,-219,4.442,0.054,-0.216,1.044,0.335,-0.112,295.64212,48.773071,15.167
FALSE POSITIVE,0,1,1,0,0.678349364,5.51E-06,-5.51E-06,132.16318,0.0066,-0.0066,1.187,1.638,-0.22,3.092,0.463,-0.463,486,50.8,-50.8,19.06,4.62,-1.54,1844,2737.73,1959.31,-688.35,12,1,5569,149,-166,4.566,0.03,-0.17,0.829,0.201,-0.067,285.81662,49.352699,14.261
FALSE POSITIVE,0,1,1,1,1.022028468,1.25E-06,-1.25E-06,132.3717,0.00101,-0.00101,1.247,0.119,-0.074,8.866,0.175,-0.175,1344.5,9.9,-9.9,26.91,5.41,-3.62,1649,1755.39,1092.44,-590.09,184.5,1,5445,162,-162,4.456,0.126,-0.168,0.855,0.172,-0.115,298.84119,44.749889,14.592
FALSE POSITIVE,0,1,0,0,1.6156052,0.0002109,-0.0002109,131.4952,0.0164,-0.0164,1.149,0.322,-0.178,14.55,1.6,-1.6,1582,328,-328,34.69,10.39,-8.48,2202,5539.33,4903.21,-2874.79,253.1,1,6770,189,-283,4.15,0.158,-0.193,1.623,0.486,-0.397,295.31842,40.208961,13.391
FALSE POSITIVE,0,0,1,0,2.43585046,1.34E-05,-1.34E-05,132.89661,0.00444,-0.00444,0.471,0.484,-0.264,2.088,0.153,-0.153,60.5,4.7,-4.7,2.6,0.34,-1.03,2544,9880.82,4220,-6698.7,14.9,1,6501,177,-196,3.613,0.328,-0.082,3.247,0.429,-1.288,292.92432,38.44228,13.464
FALSE POSITIVE,0,0,0,1,1.33255441,1.09E-05,-1.09E-05,132.05269,0.00608,-0.00608,0.649,0.297,-0.436,3.828,0.187,-0.187,106.7,8,-8,1.12,0.35,-0.14,1743,2180.2,2031.91,-759.48,15.1,1,6099,171,-236,4.456,0.054,-0.202,1.028,0.324,-0.13,292.6069,45.701408,15.708
FALSE POSITIVE,0,1,0,0,0.941840589,6.31E-06,-6.31E-06,131.80464,0.00644,-0.00644,1.198,1.245,-0.191,5.06,0.419,-0.419,388.3,21.4,-21.4,27.05,7.69,-4.15,2200,5547.35,4658.92,-2040.65,23,1,6419,177,-199,4.33,0.124,-0.186,1.142,0.325,-0.175,298.67731,41.640282,13.956
FALSE POSITIVE,0,1,0,1,1.728521892,9.61E-06,-9.61E-06,131.81736,0.00611,-0.00611,0.719,0.201,-0.477,3.361,0.129,-0.129,92.2,3.6,-3.6,1.19,0.34,-0.25,1678,1869.82,1615.37,-845.2,30.2,1,5872,176,-194,4.282,0.214,-0.175,1.157,0.332,-0.241,295.5571,40.321209,12.861
FALSE POSITIVE,0,0,1,1,1.89125855,3.73E-05,-3.73E-05,132.6891,0.0208,-0.0208,0.677,0.249,-0.431,5.415,0.447,-0.447,67.9,3.6,-3.6,0.81,0.17,-0.11,1671,1839.74,1111.9,-632.74,24.8,1,6569,157,-197,4.41,0.15,-0.165,0.927,0.193,-0.129,290.29932,37.908932,13.517
FALSE POSITIVE,0,1,1,1,8.65312868,4.25E-05,-4.25E-05,136.65308,0.00412,-0.00412,1.185,7.087,-0.075,3.376,0.193,-0.193,508.6,27.1,-27.1,20.38,6.26,-2.07,857,127.5,114.77,-37.58,22.6,1,5880,159,-194,4.525,0.039,-0.208,0.893,0.274,-0.091,289.71487,39.283871,15.534
CONFIRMED,0,0,0,0,9.91937693,6.76E-05,-6.76E-05,136.87361,0.00568,-0.00568,0.163,0.276,-0.163,4.326,0.157,-0.157,186.7,10.5,-10.5,1.32,0.17,-0.13,838,116.43,45.51,-28.22,18.8,6,5688,113,-101,4.415,0.1,-0.1,0.971,0.13,-0.095,289.78052,49.89653,14.534
FALSE POSITIVE,0,0,0,1,0.918510251,5.24E-06,-5.24E-06,131.82791,0.00533,-0.00533,0.622,0.336,-0.393,2.587,0.137,-0.137,52.6,3.1,-3.1,1.77,0.3,-0.55,2795,14485.22,6325.1,-7948.33,20.3,1,5837,79,-79,3.791,0.24,-0.096,2.338,0.39,-0.724,291.71054,38.96273,13.815
CONFIRMED,0,0,0,0,9.47850818,5.27E-05,-5.27E-05,140.16526,0.0043,-0.0043,0.112,0.343,-0.112,6.154,0.131,-0.131,184.6,7.4,-7.4,1.47,0.45,-0.16,946,189.14,173.87,-57.34,26.7,2,6249,174,-217,4.428,0.054,-0.202,1.076,0.335,-0.112,286.97128,44.708302,14.456
CANDIDATE,0,0,0,0,0.783258387,3.47E-06,-3.47E-06,131.74358,0.00362,-0.00362,0.2514,0.2138,-0.2514,2.2926,0.0885,-0.0885,328.5,14.6,-14.6,1.28,0.3,-0.13,1559,1395.69,1091.24,-389.52,28.5,1,5067,195,-155,4.565,0.063,-0.587,0.715,0.17,-0.069,289.79135,40.299431,15.729
CONFIRMED,0,0,0,0,4.24263096,2.66E-05,-2.66E-05,135.0304,0.00505,-0.00505,0.201,0.255,-0.201,2.582,0.143,-0.143,187.6,13.6,-13.6,1.1,0.06,-0.06,926,174.24,30.78,-28.95,15.9,1,5072,81,-81,4.521,0.054,-0.036,0.825,0.042,-0.047,291.91916,39.02227,14.955
FALSE POSITIVE,0,0,1,1,0.755101928,4.31E-06,-4.31E-06,131.81199,0.00528,-0.00528,0.464,0.019,-0.464,3.044,0.172,-0.172,119.8,8.2,-8.2,0.91,0.18,-0.1,1763,2287.46,1414,-674.25,18.1,1,5465,164,-164,4.535,0.057,-0.124,0.819,0.163,-0.088,284.34839,40.72826,15.443
FALSE POSITIVE,0,1,1,0,1.027904857,5.54E-07,-5.54E-07,132.444316,0.000497,-0.000497,1.261,3.543,-0.113,1.6381,0.0208,-0.0208,2381.2,23.2,-23.2,30.48,6.92,-4.61,1653,1769.2,1317.95,-659.99,117.8,1,5432,204,-185,4.446,0.144,-0.176,0.872,0.198,-0.132,297.58023,39.702702,15.32
FALSE POSITIVE,1,0,0,0,367.95566,0.01419,-0.01419,236.4537,0.0269,-0.0269,0.957,0.001,-0.697,21.877,0.732,-0.732,1414.1,97.6,-97.6,3.62,0.3,-0.29,183,0.27,0.08,-0.07,13.7,1,4723,141,-127,4.611,0.036,-0.04,0.696,0.056,-0.056,294.78763,43.739021,15.964
FALSE POSITIVE,1,0,1,0,1.106529843,3.85E-06,-3.85E-06,132.30528,0.00271,-0.00271,0.974,0.274,-0.024,6.258,0.541,-0.541,319.5,5.9,-5.9,1.91,0.43,-0.15,1649,1746.73,1147.15,-426.86,69.2,1,5932,141,-177,4.58,0.04,-0.16,0.798,0.182,-0.061,292.93121,45.40427,15.144
FALSE POSITIVE,1,0,0,0,111.741576,0.001722,-0.001722,166.3408,0.0108,-0.0108,0.057,0.406,-0.057,3.83,0.434,-0.434,238.8,30.3,-30.3,6.88,1.19,-2.22,676,49.4,24.55,-29.58,9.9,1,5267,110,-173,3.338,0.198,-0.144,4.525,0.787,-1.461,292.03525,38.945911,13.075
CANDIDATE,0,0,0,0,110.461746,0.002985,-0.002985,147.5465,0.0238,-0.0238,0.036,0.412,-0.036,12.46,1.1,-1.1,331.2,24.9,-24.9,1.93,0.64,-0.21,420,7.34,7.09,-2.24,15.8,1,6321,169,-206,4.434,0.054,-0.216,1.058,0.349,-0.116,287.03952,46.481701,15.092
CONFIRMED,0,0,0,0,198.088873,0.002491,-0.002491,319.73002,0.00815,-0.00815,0.633,0.304,-0.409,7.955,0.307,-0.307,1027.7,65.9,-65.9,3.24,0.34,-0.38,288,1.63,0.5,-0.43,18,1,5275,86,-79,4.397,0.12,-0.08,0.969,0.102,-0.113,286.57617,41.741459,15.717
FALSE POSITIVE,0,1,1,1,1.08193721,1.79E-05,-1.79E-05,131.5344,0.0111,-0.0111,0.168,0.27,-0.168,4.788,0.491,-0.491,115.3,10,-10,0.77,0.07,-0.08,1385,870.17,291.7,-249.68,14.4,1,4965,151,-136,4.555,0.072,-0.044,0.736,0.065,-0.079,299.0473,46.68557,15.471
CANDIDATE,0,0,0,0,44.6226725,0.0007691,-0.0007691,137.942,0.0137,-0.0137,0.931,0.005,-0.651,12.974,0.359,-0.359,131.9,7.3,-7.3,1.73,0.5,-0.35,613,33.39,27.93,-15.03,20.6,1,6198,169,-206,4.252,0.204,-0.185,1.239,0.352,-0.256,296.3566,41.455391,13.519
CANDIDATE,0,0,0,0,2.43142974,2.59E-05,-2.59E-05,133.83385,0.00866,-0.00866,0.2234,0.2409,-0.2234,2.713,0.275,-0.275,146.6,16.8,-16.8,1.17,0.49,-0.21,1378,852,1100.38,-330.47,10.7,1,5750,181,-143,4.364,0.169,-0.268,0.965,0.408,-0.171,297.35278,40.958141,14.539
CANDIDATE,0,0,0,0,1.41975831,1.23E-05,-1.23E-05,132.92,0.00692,-0.00692,0.644,0.341,-0.44,1.429,0.239,-0.239,60.9,8.8,-8.8,0.85,0.13,-0.08,1700,1968.38,836.24,-503,8.1,1,5925,107,-119,4.394,0.084,-0.116,1.035,0.157,-0.105,290.91934,37.28717,12.801
CANDIDATE,0,0,0,0,169.135056,0.001553,-0.001553,201.8055,0.00854,-0.00854,0.754,0.164,-0.55,8.931,0.213,-0.213,640.7,30.2,-30.2,2.21,0.15,-0.12,273,1.31,0.3,-0.23,24.5,1,5171,103,-103,4.545,0.045,-0.05,0.801,0.054,-0.043,286.60889,41.889339,14.566
FALSE POSITIVE,0,1,1,1,0.73095491,1.08E-05,-1.08E-05,132.2174,0.0132,-0.0132,0.415,0.056,-0.415,2.206,0.459,-0.459,29.6,5,-5,0.88,0.17,-0.14,2711,12770.31,6322.46,-4189.57,7.5,1,6454,77,-83,4.163,0.125,-0.125,1.587,0.308,-0.252,289.76492,38.38345,12.028
CANDIDATE,0,0,0,0,80.769893,0.002716,-0.002716,188.5556,0.0329,-0.0329,0.158,0.31,-0.158,4.2,1.5,-1.5,128.5,24,-24,1.87,1.17,-0.96,475,12.07,24.23,-9.48,6.7,1,4965,164,-134,3.961,0.605,-0.326,1.708,1.067,-0.873,292.13876,38.94154,13.026
FALSE POSITIVE,1,0,1,0,1.111362442,8.93E-06,-8.93E-06,132.30056,0.00802,-0.00802,0.715,0.408,-0.27,6.24,1.6,-1.6,133.9,11,-11,2.86,0.55,-1.01,2820,14894.75,8292.57,-9296.48,36.8,1,6486,156,-176,3.872,0.28,-0.1,2.308,0.438,-0.813,295.60934,45.484451,12.845
CONFIRMED,0,0,0,0,28.9060526,0.000233,-0.000233,158.82431,0.00613,-0.00613,0.863,0.027,-0.591,3.099,0.198,-0.198,99,8.3,-8.3,0.79,0.06,-0.02,414,6.94,1.86,-0.86,13.3,2,4657,93,-93,4.641,0.012,-0.048,0.67,0.055,-0.017,294.94858,46.438641,12.485
CONFIRMED,0,0,0,0,8.10503551,8.95E-05,-8.95E-05,135.88389,0.00836,-0.00836,0.353,0.102,-0.353,4.459,0.222,-0.222,209.9,14.7,-14.7,1.45,0.47,-0.15,959,199.74,191.96,-60.13,16.5,1,6201,175,-197,4.472,0.054,-0.216,0.989,0.321,-0.107,287.63547,45.716061,15.353
CONFIRMED,0,0,0,0,8.82715783,7.38E-05,-7.38E-05,139.73416,0.0073,-0.0073,0.249,0.22,-0.248,2.019,0.187,-0.187,368.6,40.8,-40.8,1.67,0.23,-0.06,797,95.25,34.6,-11.99,11.1,1,5550,75,-83,4.539,0.021,-0.112,0.878,0.12,-0.032,288.397,40.213188,15.247
FALSE POSITIVE,0,0,1,0,143.196381,0.002687,-0.002687,227.3054,0.0136,-0.0136,1.017,6.713,-0.069,10.424,0.686,-0.686,618.1,43.2,-43.2,6.64,1.76,-1.29,380,4.95,3.88,-2.09,17.4,1,6007,161,-179,4.333,0.18,-0.18,1.06,0.282,-0.205,295.53394,39.762249,14.034
FALSE POSITIVE,0,0,0,1,1.87886973,1.41E-05,-1.41E-05,133.07604,0.00727,-0.00727,0.657,0.03,-0.502,3.876,0.187,-0.187,181.9,9,-9,1.04,0.19,-0.08,1236,553.59,310.84,-129.88,23.9,1,5448,162,-146,4.613,0.037,-0.112,0.734,0.131,-0.056,297.34418,39.88501,13.907
FALSE POSITIVE,0,0,1,1,0.979161676,7.40E-06,-7.40E-06,132.21831,0.00593,-0.00593,0.634,0.299,-0.411,2.942,0.326,-0.326,160.2,10.7,-10.7,1.03,0.19,-0.08,1548,1357.43,777.75,-334.21,20.2,1,5390,159,-159,4.591,0.03,-0.12,0.78,0.143,-0.061,292.79333,45.628262,15.278
FALSE POSITIVE,0,1,1,0,0.855922327,2.66E-06,-2.66E-06,131.64426,0.00262,-0.00262,0.009,0.45,-0.009,1.514,0.0923,-0.0923,130.9,7.9,-7.9,0.87,0.12,-0.1,1658,1782.11,869.15,-540.41,21.1,1,5437,178,-146,4.539,0.081,-0.09,0.759,0.109,-0.09,298.90161,42.212799,14.663
CANDIDATE,0,0,0,0,2.31482311,1.32E-05,-1.32E-05,133.04857,0.00464,-0.00464,0.067,0.394,-0.067,2.127,0.167,-0.167,58.6,5,-5,0.69,0.15,-0.1,1237,554.4,374.1,-196.67,14.2,1,5240,157,-141,4.428,0.124,-0.186,0.923,0.203,-0.14,295.52948,50.370399,13.506
FALSE POSITIVE,0,1,1,1,0.952374508,3.88E-06,-3.88E-06,132.33436,0.00364,-0.00364,0.013,0.383,-0.013,3.006,0.121,-0.121,204.8,7.7,-7.7,1.13,0.05,-0.12,1435,1006.13,242.59,-286.64,33,1,4754,143,-143,4.508,0.084,-0.036,0.821,0.041,-0.083,290.73364,48.207378,15.611
FALSE POSITIVE,1,0,0,0,0.936751792,7.66E-06,-7.66E-06,132.2026,0.00733,-0.00733,0.991,0.036,-0.758,5.658,0.576,-0.576,26.4,1.5,-1.5,2.07,0.35,-0.81,3814,50168.18,26262.91,-34574.79,23,1,7843,218,-327,3.829,0.315,-0.105,2.909,0.49,-1.143,293.71811,41.430939,13.205
CANDIDATE,0,0,0,0,10.778313,0.0001588,-0.0001588,136.6142,0.0123,-0.0123,0.591,0.032,-0.469,5.256,0.313,-0.313,90.7,8.4,-8.4,1.25,0.35,-0.23,1067,306.18,260.18,-132.8,12.5,1,6726,212,-259,4.262,0.149,-0.182,1.258,0.35,-0.234,295.96259,42.200256,13.264
FALSE POSITIVE,1,0,0,0,4.31978105,5.87E-05,-5.87E-05,134.1491,0.0105,-0.0105,0.7702,0.1489,-0.5257,7.204,0.397,-0.397,65.8,3.9,-3.9,3.87,1.72,-1.37,2111,4693.13,6327.52,-3015.79,23.5,2,5519,163,-210,3.303,0.244,-0.299,4.368,1.947,-1.546,298.51794,39.924438,12.846
CANDIDATE,0,0,0,0,4.32710895,1.76E-05,-1.76E-05,133.40886,0.00328,-0.00328,1.158,6.804,-0.126,1.387,0.175,-0.175,108.9,10.5,-10.5,26.6,9.95,-12.16,1397,900.23,1013.19,-662.54,12.9,1,5776,174,-157,4.018,0.518,-0.222,1.455,0.544,-0.665,291.50122,47.74773,13.404
CANDIDATE,0,0,0,0,14.2651545,0.0001062,-0.0001062,143.22024,0.00528,-0.00528,0.353,0.095,-0.353,3.601,0.164,-0.164,66.3,5.5,-5.5,1.06,0.18,-0.18,853,125.45,59.13,-45.84,13.9,1,5825,105,-117,4.237,0.156,-0.104,1.291,0.22,-0.22,299.53479,40.477779,12.515
CANDIDATE,0,0,0,0,5.04404366,3.93E-05,-3.93E-05,136.00785,0.00577,-0.00577,0.08,0.386,-0.08,1.682,0.172,-0.172,236.5,24.6,-24.6,1.47,0.49,-0.17,1078,318.92,325.46,-100.89,11.6,1,6039,189,-210,4.493,0.054,-0.229,0.951,0.32,-0.107,287.04236,41.752209,15.744
CONFIRMED,0,0,0,0,11.17931581,9.72E-05,-9.72E-05,131.64123,0.00716,-0.00716,0.381,0.074,-0.381,3.103,0.219,-0.219,90.6,8.7,-8.7,1.81,0.38,-0.56,1159,426.61,263.36,-244.28,12,1,6292,169,-169,4.014,0.241,-0.111,1.873,0.386,-0.58,293.58087,40.427471,13.352
FALSE POSITIVE,0,0,1,0,1.284991846,7.15E-06,-7.15E-06,132.74087,0.00526,-0.00526,0.485,0.032,-0.434,2.274,0.165,-0.165,29.1,2.3,-2.3,1.17,0.21,-0.41,2491,9065.72,5273.27,-5630.36,15.3,1,6060,180,-180,3.852,0.315,-0.105,2.106,0.392,-0.729,298.94785,43.539711,12.923
CANDIDATE,0,0,0,0,1.166960319,3.63E-06,-3.63E-06,131.64332,0.00265,-0.00265,0.033,0.413,-0.033,1.6823,0.0832,-0.0832,97.8,6.2,-6.2,0.88,0.12,-0.03,1596,1534.29,533.76,-216.05,17.9,1,5632,67,-92,4.537,0.014,-0.119,0.904,0.121,-0.038,293.05408,38.54179,14.391
FALSE POSITIVE,1,0,1,0,324.18028,0.02661,-0.02661,445.8295,0.0411,-0.0411,0.733,0.243,-0.496,18.15,2.1,-2.1,87.9,10.4,-10.4,2.2,0.36,-0.83,382,5.01,2.53,-3.26,10.9,1,5792,159,-144,3.835,0.315,-0.105,2.183,0.354,-0.826,292.85916,38.431931,12.092
FALSE POSITIVE,0,1,1,1,0.530959357,2.47E-06,-2.47E-06,131.73991,0.00432,-0.00432,0.348,0.149,-0.348,2.417,0.128,-0.128,84.4,4.8,-4.8,0.69,0.1,-0.06,1852,2764.64,1305.16,-727.75,22,1,5325,143,-159,4.607,0.032,-0.097,0.75,0.113,-0.066,288.94131,44.593922,15.049
CANDIDATE,0,0,0,0,0.701944362,1.49E-06,-1.49E-06,132.00161,0.0017,-0.0017,0.07,0.383,-0.07,0.641,0.1,-0.1,210.8,18,-18,0.8,0.06,-0.09,1227,535.78,161.94,-165.87,17.1,1,4236,115,-140,4.698,0.063,-0.032,0.539,0.044,-0.06,287.80502,46.00116,15.397
CANDIDATE,0,0,0,0,3.05772668,2.05E-05,-2.05E-05,133.06692,0.00578,-0.00578,0.007,0.445,-0.007,1.819,0.155,-0.155,311,27.1,-27.1,1.23,0.05,-0.1,878,141.1,28.39,-36.55,13.7,1,4483,132,-132,4.57,0.056,-0.016,0.731,0.025,-0.063,298.98502,40.203709,15.745
CANDIDATE,0,0,0,0,9.9092109,0.0002164,-0.0002164,133.092,0.0189,-0.0189,0.755,0.039,-0.533,2.552,0.485,-0.485,942,192,-192,2.35,0.4,-0.17,693,54.54,31.38,-14.03,6.4,1,5396,194,-194,4.632,0.032,-0.104,0.702,0.119,-0.051,299.66617,43.619469,15.96
FALSE POSITIVE,0,0,1,0,0.673684895,5.71E-06,-5.71E-06,131.61938,0.00679,-0.00679,0.547,0.049,-0.484,1.161,0.365,-0.365,51.1,11.6,-11.6,0.7,0.19,-0.08,2001,3803.56,2987.86,-1163.27,7,1,5645,152,-169,4.453,0.078,-0.182,0.951,0.254,-0.109,291.3591,38.71891,14.42
CONFIRMED,0,0,0,0,56.644452,0.00106,-0.00106,138.762,0.0128,-0.0128,0.579,0.035,-0.471,16.551,0.56,-0.56,104.6,5.7,-5.7,2.44,0.45,-0.55,733,68.37,35.54,-30.26,21.8,1,6237,124,-111,3.862,0.182,-0.098,2.295,0.425,-0.519,285.96872,41.363564,12.561
FALSE POSITIVE,0,0,1,1,1.710319812,9.76E-06,-9.76E-06,131.60513,0.00507,-0.00507,0.559,0.014,-0.478,2.983,0.129,-0.129,43.6,2.6,-2.6,0.56,0.07,-0.03,1426,978.84,321.45,-162.33,19.1,1,5774,77,-77,4.524,0.053,-0.098,0.825,0.101,-0.051,292.74493,41.93486,13.388
FALSE POSITIVE,1,0,1,0,5.62978034,4.96E-05,-4.96E-05,136.8349,0.00772,-0.00772,0.08,0.374,-0.08,5.847,0.192,-0.192,379.2,23.2,-23.2,1.61,0.36,-0.15,899,154.59,108.9,-43.82,19.1,1,5497,180,-197,4.57,0.027,-0.153,0.839,0.188,-0.075,298.03653,39.90601,15.993
CANDIDATE,0,0,0,0,6.39269778,5.97E-05,-5.97E-05,135.6101,0.00673,-0.00673,0.011,0.443,-0.011,2.138,0.216,-0.216,174.3,18.3,-18.3,1.21,0.1,-0.12,890,148.31,35.78,-36.41,11.3,1,5248,86,-78,4.416,0.112,-0.056,0.943,0.074,-0.099,282.76062,46.177841,14.93
CANDIDATE,0,0,0,0,7.87845756,8.42E-05,-8.42E-05,138.58644,0.00901,-0.00901,0.562,0.007,-0.481,3.912,0.272,-0.272,44.1,4.6,-4.6,0.78,0.11,-0.14,989,226.11,94.9,-84.05,10.5,3,5767,115,-104,4.287,0.162,-0.108,1.135,0.165,-0.202,288.66077,43.36808,13.455
FALSE POSITIVE,0,1,1,1,0.885129679,6.06E-06,-6.06E-06,131.88274,0.00637,-0.00637,0.651,0.04,-0.507,3.156,0.172,-0.172,177.3,10.5,-10.5,1.21,0.38,-0.1,1780,2373.06,2198.28,-623.67,21.2,1,5792,172,-190,4.547,0.037,-0.213,0.864,0.267,-0.071,298.87418,43.440891,15.766
FALSE POSITIVE,1,1,1,0,0.438153876,5.94E-07,-5.94E-07,131.5167,0.00118,-0.00118,1.124,0.813,-0.109,1.3885,0.0743,-0.0743,164.8,6.5,-6.5,14,4.19,-1.4,2407,8008.07,7021.63,-2333.55,33.4,2,6032,162,-198,4.508,0.039,-0.208,0.929,0.278,-0.093,295.54755,46.287682,14.84
FALSE POSITIVE,1,0,1,1,0.696286519,3.97E-06,-3.97E-06,131.87824,0.00402,-0.00402,0.985,0.026,-0.728,3.194,0.22,-0.22,120.8,6.5,-6.5,1.34,0.42,-0.11,1969,3537.89,3305.16,-886.14,19.7,1,5904,160,-178,4.543,0.039,-0.221,0.867,0.276,-0.069,283.72379,40.23756,15.034
CONFIRMED,0,0,0,0,5.79179934,3.35E-05,-3.35E-05,133.35814,0.00527,-0.00527,0.896,0.064,-0.702,3.474,0.132,-0.132,118.5,7.2,-7.2,1.69,0.31,-0.26,1222,528.14,248.86,-168.22,17.7,1,6174,74,-86,4.244,0.125,-0.125,1.318,0.243,-0.199,292.20471,37.221218,13.96
CONFIRMED,0,0,0,0,129.945392,0.001556,-0.001556,176.82285,0.00882,-0.00882,0.909,0.04,-0.695,5.786,0.293,-0.293,500.1,40.4,-40.4,1.18,0.11,-0.14,177,0.23,0.07,-0.06,13.1,5,3751,75,-84,4.8,0.065,-0.035,0.443,0.04,-0.053,298.65271,43.955021,14.625
CANDIDATE,0,0,0,0,27.9040511,0.0004018,-0.0004018,154.9434,0.0108,-0.0108,0.854,0.015,-0.593,5.346,0.262,-0.262,300.2,24.3,-24.3,2.19,0.77,-0.25,677,49.53,50.93,-16.83,12.8,4,6325,174,-261,4.409,0.058,-0.218,1.112,0.388,-0.129,294.33847,50.33654,15.212
FALSE POSITIVE,0,0,1,0,1.39772545,1.32E-05,-1.32E-05,132.3377,0.00936,-0.00936,0.644,0.047,-0.478,4.129,0.221,-0.221,181.3,10.7,-10.7,1.58,0.49,-0.22,1763,2275.72,2176.07,-820.03,17.9,1,6006,190,-232,4.38,0.09,-0.21,1.114,0.35,-0.15,295.67188,40.18037,15.012
FALSE POSITIVE,0,0,1,0,0.847588864,3.33E-06,-3.33E-06,131.55971,0.00278,-0.00278,0.507,0.046,-0.428,2.246,0.11,-0.11,67.1,3.8,-3.8,0.91,0.29,-0.1,2144,5000.82,4648.42,-1516.33,21.3,1,6335,150,-206,4.427,0.056,-0.224,1.072,0.349,-0.116,296.12457,49.726669,14.263
FALSE POSITIVE,0,0,0,1,1.75649346,1.72E-05,-1.72E-05,132.01087,0.00936,-0.00936,0.242,0.234,-0.242,3.429,0.318,-0.318,27.5,2.4,-2.4,1.62,0.28,-0.84,2745,13425.76,7168.27,-10763.11,13.3,1,6619,182,-250,3.718,0.501,-0.088,3.05,0.528,-1.583,295.77768,50.149025,13.306
FALSE POSITIVE,0,0,1,1,1.8912501,2.84E-05,-2.84E-05,132.6923,0.0171,-0.0171,1.24,0.955,-0.195,7.648,0.315,-0.315,731,27.4,-27.4,23.5,1.65,-2.49,1159,427.26,136.01,-131.77,31.6,1,4883,174,-174,4.523,0.078,-0.045,0.794,0.056,-0.084,290.30371,37.924191,16.159
CANDIDATE,0,0,0,0,17.8075656,0.0008324,-0.0008324,146.88323,0.00623,-0.00623,0.474,0.001,-0.473,1.643,0.15,-0.15,1511,162,-162,3.92,1.2,-0.51,742,71.56,66.53,-25.4,11.8,1,6194,197,-241,4.45,0.07,-0.21,0.981,0.299,-0.128,294.42126,39.628471,15.574
FALSE POSITIVE,0,0,1,0,0.996023763,6.77E-06,-6.77E-06,132.16613,0.00564,-0.00564,1.147,0.341,-0.163,5.412,0.461,-0.461,98.3,5.9,-5.9,18.36,5.97,-2.56,1991,3727.96,3683.65,-1333.18,21.3,1,6110,193,-214,4.387,0.09,-0.21,1.077,0.35,-0.15,298.56668,40.128239,14.705
CANDIDATE,0,0,0,0,3.75030469,4.42E-05,-4.42E-05,134.80628,0.00789,-0.00789,0.77,0.031,-0.538,3.246,0.258,-0.258,35.5,3.8,-3.8,0.87,0.14,-0.16,1374,842.07,366.16,-333.86,10.3,2,5866,105,-117,4.191,0.162,-0.108,1.339,0.209,-0.256,285.87579,41.332432,13.313
CANDIDATE,0,0,0,0,0.259819659,4.04E-07,-4.04E-07,131.85061,0.00137,-0.00137,0.972,0.041,-0.724,0.6513,0.0577,-0.0577,231.5,12.8,-12.8,1.22,0.08,-0.08,1559,1410.9,285.54,-257.11,24.1,1,3939,55,-62,4.736,0.028,-0.035,0.526,0.035,-0.035,281.11646,43.28244,15.174
